"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="156715037885431703","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="143330294866220647","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156941839419976804","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="158329620893073585","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156420961514067720","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156267604712313215","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156559283452107519","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","陕西省西安市西影路603号西安市交警支队家属区   王笑笑   18191252392","交易成功","CLC1180101250025"
="142904832513209854","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易关闭","CLC1180101250025"
="157940337405019190","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157998072557495561","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157943083506495561","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="143037163823026645","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易关闭","CLC1180101250025"
="142800280243555846","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157776091517514082","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157744898322954477","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
