商户订单号,发生时间,收入金额（+元）,支出金额（-元）,帐务类型,备注
180407-258042970882379,2018/4/10 1:46,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180406-277500577921435,2018/4/9 23:32,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180407-337315361281798,2018/4/9 23:25,3,0,优惠券结算,交易成功优惠券支付金额结算
180406-245788029440498,2018/4/9 21:10,3,0,优惠券结算,交易成功优惠券支付金额结算
180407-313252575361202,2018/4/9 21:06,1,0,优惠券结算,交易成功优惠券支付金额结算
180403-487011203203909,2018/4/9 20:52,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180404-309544887043519,2018/4/9 20:40,1,0,优惠券结算,交易成功优惠券支付金额结算
180406-484947576961070,2018/4/9 20:32,3,0,优惠券结算,交易成功优惠券支付金额结算
180407-229023080963805,2018/4/9 20:01,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-470920554243079,2018/4/9 20:00,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180407-470920554243079,2018/4/9 20:00,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180405-267652678403630,2018/4/9 18:16,20,0,优惠券结算,交易成功优惠券支付金额结算
180406-353587290242835,2018/4/9 17:45,0.77,0,优惠券结算,交易成功优惠券支付金额结算
180406-482959521923125,2018/4/9 17:11,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-488542232323763,2018/4/9 16:46,3,0,优惠券结算,交易成功优惠券支付金额结算
180405-471143912963968,2018/4/9 16:37,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-254481077761671,2018/4/9 16:23,10,0,优惠券结算,交易成功优惠券支付金额结算
180404-540700777613154,2018/4/9 15:46,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180404-540700777613154,2018/4/9 15:46,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180404-522851664003154,2018/4/9 15:45,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180404-522851664003154,2018/4/9 15:45,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180407-235095647360602,2018/4/9 15:12,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180407-235095647360602,2018/4/9 15:12,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180407-273509486080195,2018/4/9 14:58,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180406-457528522880388,2018/4/9 14:29,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-535326160651172,2018/4/9 13:46,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180407-491953180163259,2018/4/9 13:34,0,-1,优惠券结算,退款扣除优惠券支付金额
180407-491953180163259,2018/4/9 13:34,1,0,优惠券结算,交易成功优惠券支付金额结算
180405-333230983683982,2018/4/9 13:24,3,0,优惠券结算,交易成功优惠券支付金额结算
180406-497200090883244,2018/4/9 13:19,3,0,优惠券结算,交易成功优惠券支付金额结算
180406-317280657920315,2018/4/9 12:50,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-506815644162436,2018/4/9 12:12,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-328599079682139,2018/4/9 9:09,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180406-328599079682139,2018/4/9 9:09,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180403-268161406720872,2018/4/9 9:05,0.5,0,优惠券结算,交易成功优惠券支付金额结算
