商户订单号,发生时间,收入金额（+元）,支出金额（-元）,帐务类型,备注
180506-265893770243138,2018/5/9 13:15,4,0,优惠券结算,交易成功优惠券支付金额结算
180505-305049443202573,2018/5/9 13:07,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-371349145601074,2018/5/9 12:54,3,0,优惠券结算,交易成功优惠券支付金额结算
180506-529457301761636,2018/5/9 12:52,1.05,0,优惠券结算,交易成功优惠券支付金额结算
180505-263452248960059,2018/5/9 12:46,4,0,优惠券结算,交易成功优惠券支付金额结算
180504-415987928320304,2018/5/9 10:29,3,0,优惠券结算,交易成功优惠券支付金额结算
180501-325670186882689,2018/5/9 9:51,1.61,0,优惠券结算,交易成功优惠券支付金额结算
180505-396708881281125,2018/5/9 9:01,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180427-353634124800117,2018/5/9 2:41,1,0,优惠券结算,交易成功优惠券支付金额结算
180502-302209164163703,2018/5/9 0:56,5,0,优惠券结算,交易成功优惠券支付金额结算
180506-212683412480861,2018/5/9 0:23,10,0,优惠券结算,交易成功优惠券支付金额结算
180426-539535443201294,2018/5/8 23:44,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-476903978883294,2018/5/8 22:46,3,0,优惠券结算,交易成功优惠券支付金额结算
180505-498464687362319,2018/5/8 21:43,0.64,0,优惠券结算,交易成功优惠券支付金额结算
180504-429339035520460,2018/5/8 21:28,10,0,优惠券结算,交易成功优惠券支付金额结算
180505-213373104003459,2018/5/8 21:13,19.4,0,优惠券结算,交易成功优惠券支付金额结算
180505-408193967373626,2018/5/8 20:55,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-213960199041758,2018/5/8 20:28,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-482448391042053,2018/5/8 20:13,10,0,优惠券结算,交易成功优惠券支付金额结算
180505-240149782412827,2018/5/8 19:52,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-509031091210222,2018/5/8 18:42,1,0,优惠券结算,交易成功优惠券支付金额结算
180422-505456887681265,2018/5/8 18:38,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180504-466268427523213,2018/5/8 18:23,10,0,优惠券结算,交易成功优惠券支付金额结算
180504-513392257920987,2018/5/8 18:23,1,0,优惠券结算,交易成功优惠券支付金额结算
180506-303514328321178,2018/5/8 18:15,0.72,0,优惠券结算,交易成功优惠券支付金额结算
180423-307794992001506,2018/5/8 18:06,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-274142219522455,2018/5/8 17:55,10,0,优惠券结算,交易成功优惠券支付金额结算
180505-443312738561351,2018/5/8 17:39,10,0,优惠券结算,交易成功优惠券支付金额结算
180504-492050223362937,2018/5/8 17:35,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180504-240327758721446,2018/5/8 17:13,3,0,优惠券结算,交易成功优惠券支付金额结算
180505-383638960002675,2018/5/8 16:51,4,0,优惠券结算,交易成功优惠券支付金额结算
180503-419601040642165,2018/5/8 16:47,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180503-491095111681612,2018/5/8 16:23,4,0,优惠券结算,交易成功优惠券支付金额结算
180502-539858197760608,2018/5/8 16:13,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-289035157762624,2018/5/8 16:10,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-243763846403354,2018/5/8 15:12,1,0,优惠券结算,交易成功优惠券支付金额结算
180503-317746444163818,2018/5/8 14:58,5,0,优惠券结算,交易成功优惠券支付金额结算
180505-399986884480584,2018/5/8 14:53,10,0,优惠券结算,交易成功优惠券支付金额结算
180503-435133134721408,2018/5/8 14:23,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180503-387052607360994,2018/5/8 14:12,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-411448454403220,2018/5/8 13:41,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-315316286722363,2018/5/8 13:06,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180505-359690682240042,2018/5/8 12:52,0.73,0,优惠券结算,交易成功优惠券支付金额结算
180430-382094890882523,2018/5/8 12:49,0.66,0,优惠券结算,交易成功优惠券支付金额结算
180505-349379934091807,2018/5/8 12:39,3,0,优惠券结算,交易成功优惠券支付金额结算
180505-518757781763884,2018/5/8 12:12,0.74,0,优惠券结算,交易成功优惠券支付金额结算
180501-382628353281350,2018/5/8 11:45,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-241616170880945,2018/5/8 11:39,4,0,优惠券结算,交易成功优惠券支付金额结算
180504-403535616002387,2018/5/8 11:30,0,-1,优惠券结算,退款扣除优惠券支付金额
180504-403535616002387,2018/5/8 11:30,1,0,优惠券结算,交易成功优惠券支付金额结算
180503-411504140161849,2018/5/8 11:16,5,0,优惠券结算,交易成功优惠券支付金额结算
180503-438270194561100,2018/5/8 11:13,10,0,优惠券结算,交易成功优惠券支付金额结算
180506-219153587200019,2018/5/8 10:58,0.66,0,优惠券结算,交易成功优惠券支付金额结算
180502-288890813442460,2018/5/8 10:52,1.36,0,优惠券结算,交易成功优惠券支付金额结算
180502-285632139522460,2018/5/8 10:52,5,0,优惠券结算,交易成功优惠券支付金额结算
180505-333508382720874,2018/5/8 10:51,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180430-252897630081873,2018/5/8 10:46,4,0,优惠券结算,交易成功优惠券支付金额结算
180502-344809663362514,2018/5/8 10:31,5,0,优惠券结算,交易成功优惠券支付金额结算
180503-434007691521240,2018/5/8 10:31,1,0,优惠券结算,交易成功优惠券支付金额结算
180407-285826158081564,2018/5/8 10:06,0.8,0,优惠券结算,交易成功优惠券支付金额结算
180505-482582466561000,2018/5/8 10:03,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180430-511893294083542,2018/5/8 9:25,3,0,优惠券结算,交易成功优惠券支付金额结算
180503-342486253440266,2018/5/8 9:12,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-272449392650451,2018/5/8 9:05,5,0,优惠券结算,交易成功优惠券支付金额结算
180501-393635502083959,2018/5/8 9:03,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180505-255328508162130,2018/5/8 8:09,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180504-535263714561293,2018/5/8 6:49,5,0,优惠券结算,交易成功优惠券支付金额结算
180504-461018072963271,2018/5/8 6:40,10.08,0,优惠券结算,交易成功优惠券支付金额结算
180505-112527610881627,2018/5/8 6:04,10,0,优惠券结算,交易成功优惠券支付金额结算
180504-430247374720693,2018/5/8 5:51,0.67,0,优惠券结算,交易成功优惠券支付金额结算
180503-317930072961469,2018/5/8 5:33,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180504-249140977921717,2018/5/8 0:02,4.55,0,优惠券结算,交易成功优惠券支付金额结算
180428-543272965122975,2018/5/7 23:57,3,0,优惠券结算,交易成功优惠券支付金额结算
180504-279053885442781,2018/5/7 23:44,10,0,优惠券结算,交易成功优惠券支付金额结算
180504-345419352322657,2018/5/7 22:38,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-282444206082493,2018/5/7 22:26,0.74,0,优惠券结算,交易成功优惠券支付金额结算
180405-422598096003929,2018/5/7 22:14,20,0,优惠券结算,交易成功优惠券支付金额结算
180504-411114456320934,2018/5/7 22:08,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180504-376673378562974,2018/5/7 22:07,0.74,0,优惠券结算,交易成功优惠券支付金额结算
180504-309389313283409,2018/5/7 21:39,0.8,0,优惠券结算,交易成功优惠券支付金额结算
180502-281966901120712,2018/5/7 21:34,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-377895154563574,2018/5/7 21:27,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-481846309762414,2018/5/7 21:05,10,0,优惠券结算,交易成功优惠券支付金额结算
180503-488445405441184,2018/5/7 19:45,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-386849546244004,2018/5/7 19:38,3,0,优惠券结算,交易成功优惠券支付金额结算
180504-483084738563556,2018/5/7 19:31,5,0,优惠券结算,交易成功优惠券支付金额结算
180501-394511075203677,2018/5/7 18:59,5,0,优惠券结算,交易成功优惠券支付金额结算
180505-267880787843934,2018/5/7 18:57,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-466207334403079,2018/5/7 18:53,4,0,优惠券结算,交易成功优惠券支付金额结算
180504-396345584642463,2018/5/7 18:41,3,0,优惠券结算,交易成功优惠券支付金额结算
180505-457167556483751,2018/5/7 18:37,10,0,优惠券结算,交易成功优惠券支付金额结算
180504-437009450881233,2018/5/7 18:27,1,0,优惠券结算,交易成功优惠券支付金额结算
180505-289232447360647,2018/5/7 18:19,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-345833059204064,2018/5/7 18:16,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180504-320238407683065,2018/5/7 18:14,1,0,优惠券结算,交易成功优惠券支付金额结算
180501-506519093121711,2018/5/7 18:13,3,0,优惠券结算,交易成功优惠券支付金额结算
180504-507976204160299,2018/5/7 18:02,5,0,优惠券结算,交易成功优惠券支付金额结算
180503-329455781761216,2018/5/7 17:57,10,0,优惠券结算,交易成功优惠券支付金额结算
180505-212135108482841,2018/5/7 16:49,3,0,优惠券结算,交易成功优惠券支付金额结算
180504-438205788161230,2018/5/7 16:39,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180504-396105780483498,2018/5/7 16:37,18.89,0,优惠券结算,交易成功优惠券支付金额结算
180504-218957137920702,2018/5/7 16:07,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-453149795203719,2018/5/7 15:38,0.76,0,优惠券结算,交易成功优惠券支付金额结算
180407-297004244481200,2018/5/7 15:02,0.71,0,优惠券结算,交易成功优惠券支付金额结算
180422-347024020480268,2018/5/7 14:50,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180504-376188560642967,2018/5/7 14:17,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180427-419864520960032,2018/5/7 13:15,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-466836808960766,2018/5/7 13:04,3,0,优惠券结算,交易成功优惠券支付金额结算
180502-500582856962839,2018/5/7 12:36,3,0,优惠券结算,交易成功优惠券支付金额结算
180504-509213040643650,2018/5/7 12:07,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-332244430080995,2018/5/7 11:19,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-362305778561466,2018/5/7 11:12,10,0,优惠券结算,交易成功优惠券支付金额结算
180503-301474755843071,2018/5/7 10:46,0.74,0,优惠券结算,交易成功优惠券支付金额结算
180502-408016104322818,2018/5/7 10:41,0.62,0,优惠券结算,交易成功优惠券支付金额结算
180426-419486581760453,2018/5/7 9:54,10,0,优惠券结算,交易成功优惠券支付金额结算
180503-350644439042234,2018/5/7 9:52,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-380659737600372,2018/5/7 9:13,0.74,0,优惠券结算,交易成功优惠券支付金额结算
180503-226982702080001,2018/5/7 8:34,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-526055270400483,2018/5/7 4:32,3,0,优惠券结算,交易成功优惠券支付金额结算
180502-352086389762771,2018/5/7 1:11,0.8,0,优惠券结算,交易成功优惠券支付金额结算
180502-477253813132283,2018/5/7 0:31,5,0,优惠券结算,交易成功优惠券支付金额结算
180503-306628776961211,2018/5/6 23:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-523134069762951,2018/5/6 21:24,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180503-517581794563397,2018/5/6 21:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180426-524184664962010,2018/5/6 21:15,3,0,优惠券结算,交易成功优惠券支付金额结算
180502-299868231681274,2018/5/6 21:05,1.03,0,优惠券结算,交易成功优惠券支付金额结算
180405-281306253440966,2018/5/6 20:53,3,0,优惠券结算,交易成功优惠券支付金额结算
180502-532588171521279,2018/5/6 20:20,0.71,0,优惠券结算,交易成功优惠券支付金额结算
180501-476505663361160,2018/5/6 19:51,5,0,优惠券结算,交易成功优惠券支付金额结算
180502-255054577923345,2018/5/6 19:33,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-414246165772121,2018/5/6 19:24,5,0,优惠券结算,交易成功优惠券支付金额结算
180501-518326350720700,2018/5/6 19:20,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-242138620161381,2018/5/6 19:15,0.67,0,优惠券结算,交易成功优惠券支付金额结算
180503-482147595522257,2018/5/6 19:00,20,0,优惠券结算,交易成功优惠券支付金额结算
180502-428987715842797,2018/5/6 17:53,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-462362973443229,2018/5/6 17:52,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-415607828482140,2018/5/6 17:51,0.7,0,优惠券结算,交易成功优惠券支付金额结算
180504-215620546560796,2018/5/6 17:43,3,0,优惠券结算,交易成功优惠券支付金额结算
180502-523666085773485,2018/5/6 17:38,10,0,优惠券结算,交易成功优惠券支付金额结算
180503-504714835852407,2018/5/6 17:35,0.74,0,优惠券结算,交易成功优惠券支付金额结算
180503-469956312962600,2018/5/6 17:14,3,0,优惠券结算,交易成功优惠券支付金额结算
180503-531387568001136,2018/5/6 17:03,3,0,优惠券结算,交易成功优惠券支付金额结算
180504-305406337280860,2018/5/6 16:32,5,0,优惠券结算,交易成功优惠券支付金额结算
180504-219088467203947,2018/5/6 16:24,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-394074640642737,2018/5/6 16:06,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-426170446723320,2018/5/6 16:03,1.17,0,优惠券结算,交易成功优惠券支付金额结算
180503-279595536642283,2018/5/6 15:58,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-480326791042551,2018/5/6 15:51,3,0,优惠券结算,交易成功优惠券支付金额结算
180502-391101887360632,2018/5/6 15:41,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180427-339118448651875,2018/5/6 15:19,3,0,优惠券结算,交易成功优惠券支付金额结算
180501-521821467521790,2018/5/6 15:11,4,0,优惠券结算,交易成功优惠券支付金额结算
180501-380559699200312,2018/5/6 14:45,0.67,0,优惠券结算,交易成功优惠券支付金额结算
180503-540587470722817,2018/5/6 14:20,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-517856814080160,2018/5/6 14:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180503-411744778240816,2018/5/6 14:14,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-423450943362993,2018/5/6 13:54,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-401254952960817,2018/5/6 13:19,1.01,0,优惠券结算,交易成功优惠券支付金额结算
180427-313643217920820,2018/5/6 12:04,10,0,优惠券结算,交易成功优惠券支付金额结算
180503-287720260484088,2018/5/6 11:55,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-299110847361570,2018/5/6 11:31,3,0,优惠券结算,交易成功优惠券支付金额结算
180503-343798903681417,2018/5/6 11:14,10.6,0,优惠券结算,交易成功优惠券支付金额结算
180506-244793719682597,2018/5/6 10:43,0,-10,优惠券结算,退款补用户优惠券
180506-244793719682597,2018/5/6 10:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180426-418651777922644,2018/5/6 10:41,3,0,优惠券结算,交易成功优惠券支付金额结算
180501-494207300482158,2018/5/6 10:40,3,0,优惠券结算,交易成功优惠券支付金额结算
180503-316694364161928,2018/5/6 10:21,1.08,0,优惠券结算,交易成功优惠券支付金额结算
180502-243355680643790,2018/5/6 9:14,4,0,优惠券结算,交易成功优惠券支付金额结算
180502-320752611203050,2018/5/6 8:56,1,0,优惠券结算,交易成功优惠券支付金额结算
180430-439387833600261,2018/5/6 8:31,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180501-388811311360429,2018/5/6 8:12,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180428-498194954240807,2018/5/6 7:59,4,0,优惠券结算,交易成功优惠券支付金额结算
180502-426084292481632,2018/5/6 6:40,0.74,0,优惠券结算,交易成功优惠券支付金额结算
180501-448667193604015,2018/5/6 5:59,10,0,优惠券结算,交易成功优惠券支付金额结算
180503-250571450240482,2018/5/6 0:04,0.6,0,优惠券结算,交易成功优惠券支付金额结算
180430-374040700161259,2018/5/5 23:51,0.74,0,优惠券结算,交易成功优惠券支付金额结算
180501-519010913292635,2018/5/5 23:07,1,0,优惠券结算,交易成功优惠券支付金额结算
180503-253308554241975,2018/5/5 22:59,0.7,0,优惠券结算,交易成功优惠券支付金额结算
180503-314871208962807,2018/5/5 22:30,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-348620279682029,2018/5/5 21:50,5,0,优惠券结算,交易成功优惠券支付金额结算
180427-315456800643876,2018/5/5 21:30,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-503018308483352,2018/5/5 21:29,3,0,优惠券结算,交易成功优惠券支付金额结算
180502-302900884481443,2018/5/5 21:16,4,0,优惠券结算,交易成功优惠券支付金额结算
180501-452302265601677,2018/5/5 21:15,0.73,0,优惠券结算,交易成功优惠券支付金额结算
180430-321143896322590,2018/5/5 20:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-314685701123340,2018/5/5 20:21,1.19,0,优惠券结算,交易成功优惠券支付金额结算
180430-393553904643645,2018/5/5 19:20,3,0,优惠券结算,交易成功优惠券支付金额结算
180502-340410666242020,2018/5/5 19:11,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-447061090562230,2018/5/5 19:08,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180402-489698476163323,2018/5/5 19:04,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180430-299766007040189,2018/5/5 19:04,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-498312913922610,2018/5/5 18:50,0.8,0,优惠券结算,交易成功优惠券支付金额结算
180502-277070527361348,2018/5/5 18:46,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-334567516172474,2018/5/5 18:42,3,0,优惠券结算,交易成功优惠券支付金额结算
180502-287339998081616,2018/5/5 18:32,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-355166875523004,2018/5/5 18:27,0.73,0,优惠券结算,交易成功优惠券支付金额结算
180429-504553768963061,2018/5/5 18:24,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-342658464640668,2018/5/5 18:17,0.63,0,优惠券结算,交易成功优惠券支付金额结算
180411-348823923840272,2018/5/5 18:11,3,0,优惠券结算,交易成功优惠券支付金额结算
180501-445268937611439,2018/5/5 18:10,0.62,0,优惠券结算,交易成功优惠券支付金额结算
180502-458222679042469,2018/5/5 17:48,0.64,0,优惠券结算,交易成功优惠券支付金额结算
180430-108801532161871,2018/5/5 17:36,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180427-458635495683452,2018/5/5 17:24,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-476306892803268,2018/5/5 17:16,10,0,优惠券结算,交易成功优惠券支付金额结算
180503-248533100803242,2018/5/5 17:11,4,0,优惠券结算,交易成功优惠券支付金额结算
180501-514854903041810,2018/5/5 17:04,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-374726724490289,2018/5/5 16:25,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-501520272640461,2018/5/5 16:20,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-454502840323263,2018/5/5 15:53,5,0,优惠券结算,交易成功优惠券支付金额结算
180502-331901466880658,2018/5/5 15:09,0.71,0,优惠券结算,交易成功优惠券支付金额结算
180429-369804835843470,2018/5/5 15:03,10,0,优惠券结算,交易成功优惠券支付金额结算
180429-526719764483998,2018/5/5 14:38,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-529984204801525,2018/5/5 14:33,3,0,优惠券结算,交易成功优惠券支付金额结算
180501-286105703680108,2018/5/5 14:24,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180502-312346062720275,2018/5/5 14:23,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-528483764481499,2018/5/5 14:19,5,0,优惠券结算,交易成功优惠券支付金额结算
180501-523536877440394,2018/5/5 14:17,0.77,0,优惠券结算,交易成功优惠券支付金额结算
180419-390147821443176,2018/5/5 14:12,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180419-518047233920080,2018/5/5 14:12,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-276916824962161,2018/5/5 13:39,0.75,0,优惠券结算,交易成功优惠券支付金额结算
180501-478236934400248,2018/5/5 13:36,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-348288037761909,2018/5/5 13:32,3,0,优惠券结算,交易成功优惠券支付金额结算
180503-307850794240019,2018/5/5 13:21,0.66,0,优惠券结算,交易成功优惠券支付金额结算
180502-332042467203103,2018/5/5 13:01,10,0,优惠券结算,交易成功优惠券支付金额结算
180503-209605775362201,2018/5/5 12:42,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-392299269121775,2018/5/5 12:12,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-126270332162534,2018/5/5 11:52,0.8,0,优惠券结算,交易成功优惠券支付金额结算
180501-483751266562515,2018/5/5 11:49,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180406-427306197760503,2018/5/5 11:43,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180430-331440816000372,2018/5/5 11:32,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-501147320324047,2018/5/5 11:20,0.77,0,优惠券结算,交易成功优惠券支付金额结算
180501-251062389763907,2018/5/5 11:04,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-359948679041439,2018/5/5 10:47,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-386065020803969,2018/5/5 10:27,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-450876652801302,2018/5/5 9:32,0.61,0,优惠券结算,交易成功优惠券支付金额结算
180501-511174094082547,2018/5/5 8:58,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-323896050563942,2018/5/5 8:43,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-286673382400150,2018/5/5 8:10,3,0,优惠券结算,交易成功优惠券支付金额结算
180407-228560760323183,2018/5/5 7:59,3,0,优惠券结算,交易成功优惠券支付金额结算
180430-415239236483819,2018/5/5 6:45,4,0,优惠券结算,交易成功优惠券支付金额结算
180430-490018992003510,2018/5/5 6:45,0.76,0,优惠券结算,交易成功优惠券支付金额结算
180430-363762334721358,2018/5/5 6:02,5,0,优惠券结算,交易成功优惠券支付金额结算
180502-299873438723016,2018/5/5 5:28,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-405198361602702,2018/5/5 0:57,3.26,0,优惠券结算,交易成功优惠券支付金额结算
180501-446389135362702,2018/5/5 0:56,1,0,优惠券结算,交易成功优惠券支付金额结算
180502-260212659200800,2018/5/4 23:38,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-143089921280343,2018/5/4 23:26,10,0,优惠券结算,交易成功优惠券支付金额结算
180502-283487710083994,2018/5/4 23:13,1,0,优惠券结算,交易成功优惠券支付金额结算
180501-467467402251229,2018/5/4 23:13,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180504-509254809603499,2018/5/4 23:10,0,-0.79,优惠券结算,退款扣除优惠券支付金额
180504-509254809603499,2018/5/4 23:10,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180501-333792000000309,2018/5/4 22:37,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-495957597442092,2018/5/4 22:31,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-497711663363040,2018/5/4 21:55,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-525072140173013,2018/5/4 21:53,5,0,优惠券结算,交易成功优惠券支付金额结算
180501-444395152643351,2018/5/4 21:33,5,0,优惠券结算,交易成功优惠券支付金额结算
180423-338154717450329,2018/5/4 21:32,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-466172085130123,2018/5/4 21:22,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180501-513313725443251,2018/5/4 21:16,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-494843367682029,2018/5/4 21:12,4,0,优惠券结算,交易成功优惠券支付金额结算
180405-369423987200000,2018/5/4 21:06,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-289977395200527,2018/5/4 21:02,0.6,0,优惠券结算,交易成功优惠券支付金额结算
180501-201902742401312,2018/5/4 20:51,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180502-270442118400714,2018/5/4 20:51,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-385666541444010,2018/5/4 20:49,5,0,优惠券结算,交易成功优惠券支付金额结算
180430-515297071361300,2018/5/4 20:48,5,0,优惠券结算,交易成功优惠券支付金额结算
180501-340458373120755,2018/5/4 20:21,0.77,0,优惠券结算,交易成功优惠券支付金额结算
180427-293578705923308,2018/5/4 20:01,5,0,优惠券结算,交易成功优惠券支付金额结算
180501-453550675200536,2018/5/4 19:51,5,0,优惠券结算,交易成功优惠券支付金额结算
180502-295711738881969,2018/5/4 19:28,0.64,0,优惠券结算,交易成功优惠券支付金额结算
180430-509422773120384,2018/5/4 19:19,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-235609190403207,2018/5/4 18:47,0.74,0,优惠券结算,交易成功优惠券支付金额结算
180429-519928940803181,2018/5/4 18:10,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-500169580803888,2018/5/4 18:09,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-337354231040306,2018/5/4 18:06,4,0,优惠券结算,交易成功优惠券支付金额结算
180429-251042064643219,2018/5/4 17:28,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180428-515844824332353,2018/5/4 17:00,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-484425893121928,2018/5/4 16:52,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180430-495332312321435,2018/5/4 16:35,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180430-543502905602132,2018/5/4 16:15,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-455127010560063,2018/5/4 16:12,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180430-507056273293866,2018/5/4 15:45,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-481106924800089,2018/5/4 15:23,4.11,0,优惠券结算,交易成功优惠券支付金额结算
180501-484021749772362,2018/5/4 14:57,1.71,0,优惠券结算,交易成功优惠券支付金额结算
180502-264336452482967,2018/5/4 14:46,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180426-385703107841243,2018/5/4 14:38,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-436810257280208,2018/5/4 14:28,3,0,优惠券结算,交易成功优惠券支付金额结算
180501-390765708172801,2018/5/4 13:52,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-480294000641176,2018/5/4 13:46,0.73,0,优惠券结算,交易成功优惠券支付金额结算
180502-277267097603744,2018/5/4 13:40,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-511805088002896,2018/5/4 13:39,0,-1,优惠券结算,退款扣除优惠券支付金额
180501-511805088002896,2018/5/4 13:38,1,0,优惠券结算,交易成功优惠券支付金额结算
180430-401102952321391,2018/5/4 12:38,0.64,0,优惠券结算,交易成功优惠券支付金额结算
180430-456629690242415,2018/5/4 12:35,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-264074526722291,2018/5/4 12:13,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-357514224640810,2018/5/4 12:02,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-416503088641465,2018/5/4 11:44,36,0,优惠券结算,交易成功优惠券支付金额结算
180430-485273473920291,2018/5/4 11:44,1,0,优惠券结算,交易成功优惠券支付金额结算
180430-436379788161935,2018/5/4 11:33,10,0,优惠券结算,交易成功优惠券支付金额结算
