订单号,商品ID,商品名称,扣款原因,申请人,申请时间,申请扣款金额(元),打款状态
180503-291644221440524,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0821:18:43,6,小额打款成功
180506-284854897923178,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0821:06:45,6,小额打款成功
180503-425178907520359,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0820:37:29,4,小额打款成功
180505-418963415041212,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0820:19:46,6.6,小额打款成功
180506-136734701441980,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0819:34:20,8,小额打款成功
180501-483829688323104,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0817:24:38,8,小额打款成功
180504-480104587521929,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0816:33:15,3.5,小额打款成功
180430-519963408641120,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0816:24:34,5,小额打款成功
180505-383485835522327,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0816:17:59,6,小额打款成功
180504-394190117763299,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0816:17:58,5.5,小额打款成功
180503-317746444163818,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0814:29:30,5,小额打款成功
180504-517356576001660,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0813:01:16,4.5,小额打款成功
180504-543636896002166,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0812:54:49,3.5,小额打款成功
180505-296675304320817,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0812:52:50,6,小额打款成功
180505-329307726720637,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0812:39:22,9.8,小额打款成功
180504-491314295040069,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0811:59:41,3.5,小额打款成
180505-267576023042144,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0811:20:36,5,小额打款成功
180502-271867936000014,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0811:00:40,4.5,小额打款成功
180504-505520339202037,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0810:15:04,3,小额打款成功
180501-452391331841750,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0721:34:43,4.5,小额打款成功
